EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Masks Sugical (each),IMPEIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,863750,12.48,10779600.00,,,
Gloves sugical steile 9,IMPEIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,50000,2.76,138000.00,,,
POTECTIVE GOGGLES,LECHOBA MED,2005/044442/07,TCOVID19,V-887328,20200414,800,65.90,52720.00,,,
Gloves sugical steile 9,IMPEIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,5000,2.76,13800.00,,,
Coveall potective clothing bodysuit disp lage,TIPLE C MEDICAL SUPPLIES,2019/385058/07,Quotation,PP-008819,6/30/2020,100,85.55,8555.00,,,
Coveall potective clothing bodysuit disp X-lage,TIPLE C MEDICAL SUPPLIES,2019/385058/07,Quotation,PP-008819,6/30/2020,150,85.55,12832.50,,,
Decontamination,Mpholetins Pojects,2014/147875/07,Quotations,PT-010411,7/28/2020,1,13924.55,13924.55,,,
Decontamination,Cetha Mechants,2017/033020/07,"Fomal Pice quoation
PTAQ14/2020",PT-010301,20200717,6,79255.95,475535.70,,,
Decontamination,Maanda_Nes Investment,2014/098098/07,Quotations,A-476928,7/3/2020,1,12443.21,12443.21,,,
,,,,,,,,13673202.76,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
Alcohol based hand sanitise 500 ml,Lechoba Medical Technologies,2005/044442/07,"NT Instuction No 8 of
2019/2020 Annexue A
TCOVID19-008",AH-280568,3/23/2020,246,              6 0.75,                          14944.50,,,
Alcohol based hand sanitise 500 ml,Tipple N Medical Distibutos,2011/129850/07,"NT Instuction No 8 of
2019/2020 Annexue A
TCOVID19-008",AH-280569,3/23/2020,177,84.33,14926.41,,,
Alcohol based hand sanitise 500 ml,Cleaning Specialist,2016/082258/07,Petty cash,N/A,3/18/2020,11,181.82,2000.00,,,
Biocide D / Bleach,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,1250,5.40,6750.00,,,
Coal Ta,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,750,12.60,9450.00,,,
Decontamination,Pest Contol Specialist,8307305153083,Emegency Quotation,AH-280605,6/26/2020,1,11650.00,11650.00,,,
Decontamination,Pest Contol Specialist,8307305153083,Emegency Quotation,AH-280606,6/29/2020,1,15280.00,15280.00,,,
Decontamination,Pest Contol Specialist,8307305153083,Quotation,AH-280609,7/3/2020,1,6550.00,6550.00,,,
Decontamination,Pest Contol Specialist,8307305153083,Petty cash,N/A,7/8/2020,1,1840.00,1840.00,,,
Decontamination,Ntabayemvula,2017/095241/07,Quotation KU22/2020,KG-004277,7/21/2020,100000,1.49,149000.00,,,
Disinfectant Geneal Pupose,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,1600,5.90,9440.00,,,
Disposable Apons,Cental Medical,1995/003785/07,T32/2019,AH-280572,3/24/2020,3000,0.32,960.00,,,
Disposable Caps,Euphobia Tading Entepises,2008/046567/23,Quotation,AH-280591,4/14/2020,3800,1.56,5928.00,,,
Disposable Linen,Pomed Technologies,2014/162486/07,T32/2019,KG-004233,5/22/2020,1000,2.18,2180.00,,,
Disposable Themometes,D Temp,2013/120599/07,T33/2019,AH-280593,4/17/2020,20000,3.22,64400.00,,,
Heavy duty ubbe cleaning glove,Euphobia Tading Entepises,2008/046567/23,Quotation,AH-280591,4/14/2020,1000,40.25,40250.00,,,
Liquid Hand Washing soap,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,250,12.90,3225.00,,,
Matess Cove fo hospitals,Hospital Equipment Manuafactue,2000/000651/07,T24/2016,KG-004232,5/22/2020,400,563.12,225248.00,,,
Pape towels,Pomed Technologies,2014/162486/07,,AH-280602,4/24/2020,3500,10.50,36750.00,,,
Pape towels Holdes,Shosho Industial Supplies,2003/009940/23,T14/2019,AH-280601,4/24/2020,70,148.55,10398.50,,,
Sanitize (mounted and handheld),Euphobia Tading Entepises,2008/046567/23,Quotation,AH-280591,4/14/2020,60,733.70,44022.00,,,
Sanitize Wet Wipes,Euphobia Tading Entepises,2008/046567/23,Quotation,AH-280591,4/14/2020,2000,31.05,62100.00,,,
Soap Dispenses,Euphobia Tading Entepises,2008/046567/23,Quotation,AH-280591,4/14/2020,70,733.70,51359.00,,,
Sugical Gloves Non Steile,Evegeen Latex,2002/057771/23,T76/2020,AH-208575,3/25/2020,2000,0.50,997.20,,,
Sugical Gloves Steile Type 1,Supa Healthcae Johannesbug,2007/027848/07,T76/2020,KG-004226,5/18/2020,900,2.45,2208.42,,,
Sugical masks,Biologica Phamaceuticals,2013/067392/07,T296/2020,AH-280571,3/24/2020,800,26.65,21320.00,,,
Sugical masks,Impeial Logistics South Afica,1993/003465/07,"NT Instuction No 3 of
2020/2021 Covid 031",AH-280596,4/21/2020,4000,12.48,49920.00,,,
Tempeatue Scanne,Multisuge,2014/170364/07,"NT Instuction No 8 of
2019/2020 Annexue A
TCOVID19-018",AH-280570,3/24/2020,5,2300.00,11500.00,,,
Tempeatue Scanne,Lechoba Medical Technology,2010/069513/23,"NT Instuction No 8 of
2019/2020 Annexue A
TCOVID-19-018",AH-280592,4/15/2020,15,1348.99,20234.85,,,
Spay bottles,West and Pack,2000/076447/23,Petty cash,N/A,6/11/2020,34,53.72,1826.60,,,
Batteies,Game Key West,"199100680507000G101/22042020/928
4/104/0543",Petty cash,N/A,4/20/2020,5,171.99,859.95,,,
ain Suits,Westen Gas,2014/181533/07,Petty cash,N/A,4/9/2020,6,80.00,480.00,,,
,,,,,,,,897998.43,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
Gloves sugical  (each),SUPA HEALTHCAE,2007/027848/07(CSD:MAA0015240),T76,LW-011637,24/03/2020,2000,170.14,340280.00,,,
Infa-ed Electonic Themometes.,BULELANI ENGEENIAING,2015/268006/07,Quotation,G-108151,16/04/2020,9,3220.00,28980.00,,,
Mask N95 (each),LIOA MEDICAL SUPPLIES,2011/013434/23(CSD:MAA0002271),T300,LW-011629,24/03/2020,20000,5.35,107000.00,,,
Sanitize  Hand (Pe lite),GLOBAL INSYNC,2017/144143/07(CSD:MAAA0143660),Quotation,G-107287,27/03/2020,200,161.00,32200.00,,,
Sanitize Suface,POMED TECHNOLOGIES,2014/162486/07(CSD:MAAA035214),T289,LW-011656,24/03/2020,200,90.00,18000.00,,,
PAPE TOWEL,POMED TECHNOLOGIES,2014/162486/07(CSD:MAAA035214),T14,LW-011638,24/03/2020,6000,55.75,334500.00,,,
LINEN SAVES,MEDDEG TECHNOLOGY,2003/014869/23(CSD:MAAA0278517),T32,LW-011639,24/03/2020,5000,0.95,4750.00,,,
N95 MASK,LICHOBA MED&TECHNOLOGIES,2001/044442/07(CSD:MAAA0038766),T32,G-107278,24/03/2020,120,18.75,2250.00,,,
MEDICAL DISPOSABLE BAG,POMED TECHNOLOGIES,2014/162486/07(CSD:MAAA035214),T32,G-107280,25/03/2020,2500,5.00,12500.00,,,
HAND SANITIZE,ONALIMAATLA INVESTMENTS,2015/366839/07(CSD:MAAA0024730),Quotation,G-107283,25/03/2020,2800,70.00,196000.00,,,
BLEACH BIOSIDE,DUMA HEALTH CAE,2015/004395/07(CSD:MAAA0099731),Quotation,G-107284,25/03/2020,1000,18.97,18970.00,,,
BOOTS COVE,DUMA HEALTH CAE,2015/004395/07(CSD:MAAA0099731),Quotation,G-107284,25/03/2020,3000,5.76,17280.00,,,
ENT SET,DUMA HEALTH CAE,2015/004395/07(CSD:MAAA0099731),Quotation,G-107284,25/03/2020,4,13524.00,54096.00,,,
COVE MATTESS BED,HOSPITAL EQUIPMENT MANUFACTUE,2S000/000651/07(CSD:MAAA0106830),T24,LW-011641,20/03/2020,225,400.00,90000.00,,,
DECONTAMINATION OF OFFICES,"CICIMA POPETY MANAGEMENT
SOLUTION",2011/121121/07(CSD:MAAA0605241,Quotation,G-108223,30/06/2020,1788SQM,15.52,27758.00,,,
DECONTAMINATION OF OFFICES,BIG O TADING 873,2010/148833/23(CSDMAAA0026754),Quotation,G-108224,03/07/2020,3395SQM,15.50,52622.50,,,
,,,                     1337186.50,,,,,,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
Gloves sugical  (each),POMED,2014/162486/07,T76,M-005593,3/18/2020,70000,                0.46,32200.00,,,
Infa-ed Electonic Themometes.,ABUSA HOLDINGS,"2013/203408/07
2012/056577/07",M 68/2020,M-005635,4/8/2020,18,1502.00,27036.00,,,
Sanitize  Hand (Pe lite) (500ml),BAS CHEMICALS,T 300,M-005588,3/18/2020,16000,              1 5.92,254720.00,,,,
gowns,POMED,2014/162486/07,T 76,M-005586,3/18/2020,5000,              2 3.83,119150.00,,,
linen saves,LOGAN MEDICAL,2012/056508/07,T 32,M-005584,3/18/2020,5000,                0.78,3900.00,,,
pape towels medical,POMED,2014/162486/07,T 76,M-005586,3/18/2020,300,              3 5.26,10578.00,,,
DECONTAMINATION,CLIFFMIXWELL,2017/324146/07,Quotation,M-005720,6/12/2020,1091,                4.00,4364.00,,,
DECONTAMINATION,MN INVESTMENT,2014/098098/07,Quotation,M-005721,6/17/2020,1920,                4.20,8065.00,,,
,,,,,,,,447584.00,,,
,,,,,,,,,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
GOGGELS SAFETY,QUALITY SUPPLIES,2015/019742/07,T32,AI-320905,20200324,120,65.00,7800.00,,,
SUGICAL SCUB 5 L,Bas Phamacetical,2012/056577/07,T300,AI-320994,20200318,50,159.93,7996.50,,,
SUGICAL SCUB 500ML,Bas Phamacetical,2012/056577/07,T300,AI-320994,20200318,30,21.92,657.60,,,
PAPE TOWELS 230MM,Pomed Technology,2014/162486/07,T14,AI-320992,20200318,800,31.75,25400.00,,,
PLASTIC COVE MATESS,Pomed Technology,2014/162486/07,T32,AI-320992,20200318,1000,2.18,2180.00,,,
PLASTIC BOOT COVES KNEE LENGTH PAIS,M Fist Aid,1990/00763/07,Pice Quotation,ZD-012343,20200324,83,60.95,5058.85,,,
SPAY PESSUE 5L AGPO,Hinteland,1984/008258/07,Quotation,PETTY CASH,20200520,8,249.90,1999.10,,,
SPAY PESSUE 5L AGPO,Hinteland,1984/008258/07,Quotation,PETTY CASH,20200506,6,249.90,1499.30,,,
5L PESSUE SPAYE,Cullinan Hadwae CC,CK92/27776/23,Quotation,PETTY CASH,20200507,2,250.00,500.00,,,
                          53091.35,,,,,,,,,,,
TOTAL AMOUNT                   20546435.70,,,,,,,,,,,
WESTEN CAPE EGION,,,,,,,,,,,
MANAGEMENT AEA,ITEM DESCIPTION,NAME OF SUPPLIE,COMPANY EGISTATION NUMBE,"POCUEMENT POCESS FOLLOWED
('TANSVESAL CONTACT NO/SUPPLIE
IDENTIFIED BY TEASUY/DEVIATION
POCUEMENT METHOD)",ODE NUMBE,ODE DATE,UNIT OF MEASUE,ODE QUANTITY,UNIT PICE,ODE VALUE,
Allandale,Alcohol based hand sanitise,Tipple N Medical Distibutos,2011/129850/07,Annexue A Table 2,AD-006399,16/04/2020,25 L,10000,98.37pelite,983772.00,
Allandale,Alcohol based hand sanitise,Unitade 1032 CC,1998/002665/23,Annexue A Table 2,OQ 004720,03/04/2020,25 L,475,60.03Each,28514.25,
Allandale,Alcohol based hand sanitise,UNITADE 1032CC,1998/002665/23,Annexue A Table 2,AD-006389,03/04/2020,25 L,475,60.03pelite,28514.25,
Allandale,Alcohol based hand sanitise,UNITADE 1032CC,1998/002665/23,Annexue A Table 2,HA-002287,03.04.2020,25 L,475,60.03pelite,28514.25,
Bandvlei,Alcohol based hand sanitise,BAS PHAMACEUTICALS INDUSTIES,2012/056577/07,T300-2017-51284804-00001,BN-018296,7/20/2020,each,2000,15.92,31840.00,
Bandvlei,Alcohol based hand sanitise,BAS PHAMACEUTICALS INDUSTIES,2012/056577/07,T300-201701,BN-018277,7/20/2020,each,1000,15.79,15790.00,
Bandvlei,Alcohol based hand sanitise,Boikamo Goup,2020/138403/07,pice quotation,BN-018287,7/15/2020,each,120,235.50,28260.00,
Bandvlei,Alcohol based hand sanitise,Maanies Geneal,2010/061020/23,pice quotation,BN-018295,7/20/2020,each,300,26.00,7800.00,
Bandvlei,Alcohol based hand sanitise,Winelands etail and tade,2019/537984/07,pice quotation,BN-018152,6/22/2020,each,400,74.00,29600.00,
Beede ive,Alcohol based hand sanitise,BAS Phamaceuticals,2012/056577/07,T300,B-008192,3/22/2020,lt,3000,14.44,43320.00,
Beede ive,Alcohol based hand sanitise,Delimaya,2016/449454/07,Quotation,B-008247,4/20/2020,lt,1600,71.96,115136.00,
Beede ive,Alcohol based hand sanitise,Destiny Chemicals,2015/054104/07,Quotation,B-008210,3/26/2020,lt,475,60.00,28500.00,
Beede ive,Alcohol based hand sanitise,Destiny Chemicals,2015/054104/07,Quotation,B-008221,3/31/2020,lt,475,60.00,28500.00,
Beede ive,Alcohol based hand sanitise,Unitade 1032,1998/002665/23,Covid 19,B-008389,7/8/2020,lt,1875,60.03,112556.25,
Dakenstein,Alcohol based hand sanitise,BAS,2012/056577/07,T300,DN-013124,4/9/2020,BT,740000,15.92,23561.60,
Dakenstein,Alcohol based hand sanitise,BAS,2012/056577/07,T300,DN-013289,5/14/2020,BT,8000,18.33,146640.00,
Goodwood,Alcohol based hand sanitise,BAS PHAM,2012/056577/07,T300,GW-011650,18/03/2020,EA (500ML),3000,14.44,43320.00,
Goodwood,Alcohol based hand sanitise,DESTINY,2015/054104/07,QUOTATION,A-236600/240,03/04/2020,EA (500ML),950,30.00,28500.00,
Goodwood,Alcohol based hand sanitise,TIPPLE N MED,2011/129850/07,TCOVID19-008,GW-011671,24/03/2020,EA (500ML),1000,84.33,84330.00,
Ovebeg,Alcohol based hand sanitise,BAS PHAMCEUTICAL,2012/056577/07,T300,CA-005518            & CA-005519,3/24/2020,ml,1000,8.65,8645.00,
Ovebeg,Alcohol based hand sanitise,BAS PHAMCEUTICAL,2012/056577/07,T300,HS-010752,3/20/2020,ml,500,9.35,37380.00,
Ovebeg,Alcohol based hand sanitise,BAS PHAMCEUTICAL,2012/056577/07,T300,HS-010985,7/16/2020,ml,1000000,0.03,32820.00,
Ovebeg,Alcohol based hand sanitise,BAS PHAMACEUTICAL IND,2012/056577/07,T300,BJ-005135,3/26/2020,ml,2000,15.62,7811.00,
Ovebeg,Alcohol based hand sanitise,Singa Establishment,2018/493323/07,Quotation,HS-011002,7/24/2020,ml,800000,0.04,29398.40,
Pollsmoo,Alcohol based hand sanitise,Bas Phamaceuticals Industies,2012/056577/07,T300/2017,PS-010244,17.03.2020,EA,100x500ml,16.41,1641.00,
Pollsmoo,Alcohol based hand sanitise,Destiny Chemicals,2015/054104/07,CSD,PS-010212,25.03.2020,EA,200X25L,1400.00,280000.00,
Southen Cape,Alcohol based hand sanitise,Lechoba Medical Technologies,2005/044442/07,T-76,SC-008390,15/06/2020,lite,2500,175.66,439156.25,
Voobeg,Alcohol based hand sanitise,Bas,1998/002665/23,T300,VB-0010305,2020.05.22,500ML,500,4.36,22180.06,
Voobeg,Alcohol based hand sanitise,Unitade,2012/056577/07,COVID046,VB-010427,2020.06.19,500ml,2500,62.50,155250.00,
Bandvlei,Alcohol based hand sanitise  efil Detegent,Boikamo Goup,2020/138403/07,pice quotation,BN-018287,7/15/2020,L,120,235.50,28260.00,
Southen Cape,Backpack pessue spays,TENOAH,2018/266857/07,Pice Quotation,SC-008271,20/03/2020,each,15,599.00,8985.00,
Southen Cape,bead caps,Anqingsa,2017/343405/07,Pice Quotation,SC-008319,17/04/2020,each,10000,0.99,9898.00,
Bandvlei,Biocide D / Bleach,FK424 Chelsea Commodities,2011/081163/23,Pice Quotation,BN-017982,4/20/2020,L,2000,9.00,18000.00,
Bandvlei,Biocide D / Bleach,Wold focus 1722,2007/208349/23,BQ30/2020 TENDE,BN-018280,7/15/2020,L,500,6.81,3407.00,
Beede ive,Biocide D / Bleach,BAS Phamaceuticals,2012/056577/07,T300,B-008193,4/21/2020,500 ml,3000,16.41,49230.00,
Beede ive,Biocide D / Bleach,Destiny Chemicals,2015/054104/07,Quotation,B-008206,4/21/2020,500 ml,120,200.00,24000.00,
Dakenstein,Biocide D / Bleach,SOLUCAE,2015/113356/07,ALD1/2018,DST072,3/19/2020,LT,12000,16.54,99268.80,
Ovebeg,Biocide D / Bleach,SIMSIM SALES & MAKETING,2018/195625/07,PICE QUOTATION,HS7/2020,4/1/2020,ml,10,350.00,3500.00,
Ovebeg,Boot coves,Medical Intenal othaopaedic,2007/023366/23,T32-2019,HS-010969,7/8/2020,Pai,1000,19.23,19230.00,
Ovebeg,BP Cuffs,Uthembeni Poject Management,2003/094510/23,Pice quotation,HS-010845,5/12/2020,Each,7,92.00,644.00,
Ovebeg,BP Cuffs,Uthembeni Poject Management,2003/094510/23,Pice quotation,HS-010847,5/11/2020,Each,7,138.00,966.00,
Goodwood,BP Monitoing Machine,NGAPHAYA Y2K10,2008/241856/23,QUOTATION,GW-011728,15/04/2020,EA,10,500.00,5000.00,
Pollsmoo,BP Monitoing Machine,Class Thee Medical Solutions,2017/535986/07,CSD Supplie,PS-010239,17.04.2020,EA,20,430.00,8600.00,
Beede ive,Coole Box 2lites,Xhanti Consolidation,2017/520106/07,Quotation,B-008260,4/21/2020,each,6,3500.00,21000.00,
Dakenstein,Coole Box 2lites,TIPPLE A SOLUTIONS,2017/271551/07,PICE QUOATION,DN-013142,3/30/2020,EA,16,250.00,4000.00,
Ovebeg,Coole Box 2lites,SIMSIM SALES & MAKETING,2018/195625/07,PICE QUOTATION,HS7/2020,4/1/2020,Each,5,250.00,1250.00,
Ovebeg,Decontamination: Maintenance,Taffic Cleaning Sevices,2020/093594/07,Pice Quotation,HS23/2020,7/2/2020,m2,1480,5.37,7947.60,
Ovebeg,Decontamination: Med & Max,Taffic Cleaning Sevices,2020/093594/07,Pice Quotation,HS24/2020,2020.07.02,m2,1857.1087,5.37,9966.72,
Allandale,D-Gem,BAS PHAMACEUTICALS,2012/056577/07,T 300,AD-006487,25.06.2020,ml,2000,16.41,32820.00,
Allandale,D-Gem,BAS PHAMACEUTICALS,2012/056577/07,T 300,HA-002272,23.03.2020,ml,160,16.41,2625.60,
Allandale,D-Gem,BAS PHAMACEUTICALS,2012/056577/07,T 300,OQ-004817,28.07.2020,ml,160,16.41,2625.60,
Voobeg,Disenfectant hand cleaning,Bas,2012/056577/07,T300,VN-002763,2020.05.28,500ML,1000,13.79,13790.00,
Pollsmoo,Disposable  apons,Compass Medical Waste Sevices,2003/002007/07,CSD,PS-010396,20.07.2020,EA,10000,0.63,6300.00,
Allandale,Disposable apons,KAAP   AGI,1995/000336/06,DEVIATION  POCUEMENT METHOD,PC-001608,09.04.2020,Each,68,16.15,1097.90,
Bandvlei,Disposable apons,Cental Medical,1995/003785/07,T32-2019ITEMNO-42131601-00003,BN-018384,7/27/2020,EACH,4000,0.38,1280.00,
Beede ive,Disposable apons,Cental Medical,1995/003785/07,T32,B-008184,4/21/2020,each,3000,0.32,960.00,
Beede ive,Disposable apons,Cental Medical,1995/003785/07,T32,B-008350,4/21/2020,each,3000,0.32,960.00,
Dakenstein,Disposable apons,UMKHONDO HOLDING,2016/026316/07,PICE QUOTATIONS,E534956/014,4/8/2020,EA,2000,1.77,3540.00,
Goodwood,Disposable apons,CENTAL MED,1995/003785/07,T32,GW-011820,14/05/2020,EA,5000,0.32,1600.00,
Goodwood,Disposable apons,CENTAL MED,1995/003785/07,T32,GW-011862,23/06/2020,EA,5000,0.32,1600.00,
Goodwood,Disposable apons,CENTAL MEDICAL,1995/003785/07,T32,GW-011648,18/03/2020,ea,5000,0.32,1600.00,
Ovebeg,Disposable apons,Bolt and Enigineeing,2010/015724/07,PICE QUOTATION,HS-010856,5/14/2020,Each,500,0.95,475.00,
Ovebeg,Disposable apons,CENTAL MEDICAL,1995/003785/07,T32-2019,CA-005514,3/24/2020,Each,3000,0.32,960.00,
Pollsmoo,Disposable apons,Cental Medical,1995/003785/07,T32/2019,PS-010145,17.03.2020,Box,3000,0.32,960.00,
Voobeg,Disposable apons,Ach Tech,2017/162066/07,COVID019,VN-002772,2020.06.20,Each,100,175.00,17500.00,
Allandale,Disposable coveall suits,Lungishapo Pojects,2014/081664/07,Pice Quotation,OQ-004803,17.07.200,Each,150,128.00peeach,19200.00,
Allandale,Disposable coveall suits,MALESETJA INVESTMENTS,2011/147510/07,Quotation,AD-006497,06.07.2020,Each,300,92.40,27720.00,
Beede ive,Disposable coveall suits,AC Technology,2017/162066/07,TCOVID19-016,B-008355,4/21/2020,each,500,460.00,230000.00,
Beede ive,Disposable coveall suits,AC Technology,2017/162066/07,TCOVID19-016,B-008400,4/21/2020,each,2000,300.00,600000.00,
Dakenstein,Disposable coveall suits,PIMESH,2012/045965/07,PICE QUOTATION,DN-013339,5/29/2020,EA,200,460.00,92000.00,
Goodwood,Disposable coveall suits,ASOKA TADE,2002/005574/23,QUOTATION,GW-011865,6/19/2020,EA,400,95.00,38000.00,
Goodwood,Disposable coveall suits,QUINTAX,2011/054080/23,QUOTATION,A-236600,15/04/2020,EA,70,224.25,15697.50,
Ovebeg,Disposable coveall suits,AC TECHNOLOGY,2017/162066/07,NON CONTACT,BJ-005129,3/24/2020,Each,100,175.00,17500.00,
Pollsmoo,Disposable coveall suits,Big Chest,2014/016004/07,CSD Supplie,PS-010284,21.05.2020,EA,3000,160.00,480000.00,
Voobeg,Disposable coveall suits,Pomed,1998/002665/23,T32,VN-002711,2020.05.18,Each,100,23.83,2383.00,
Voobeg,Disposable coveall suits,Unitade,2014/162486/07,COVID40,VB-010428,2020.06.19,Each,300,883.27,264981.00,
Allandale,Disposable Gown,POMED TECHOLOGIES,2014/162486/07,T32,AD-006349,23.03.2020,Each,300,21.64,6492.00,
Allandale,Disposable Gown,POMED TECHOLOGIES,2014/162486/07,T32,OQ-004702,23.03.2020,Each,300,21.64,6492.00,
Bandvlei,Disposable Gown,Logan Medical & Sugical,1995/003785/07,T3242131702-000003,BN-018389,7/27/2020,each,2000,20.00,40000.00,
Bandvlei,Disposable Gown,Logan Medical & Sugical,2012/056508/07,T3242131702-000003,BN-017975,4/17/2020,each,100,20.00,2000.00,
Bandvlei,Disposable Gown,Logan Medical & Sugical,2012/056508/07,T32-201942131504-00000,BN-018297,7/16/2020,each,20000,4.60,92000.00,
Beede ive,Disposable Gown,Logan Medical & sugical,2014/162486/07,T covid19,B-008366,4/21/2020,each,2000,20.00,40000.00,
Beede ive,Disposable Gown,Pomed Technologies,2014/162486/07,T32,B-008348,4/21/2020,each,5000,23.14,115000.00,
Beede ive,Disposable Gown,Pomed Technology,2012/056508/07,T32,B-008185,4/21/2020,each,24,23.50,564.00,
Dakenstein,Disposable Gown,LOGAN MEDICAL,2012/056508/07,PICE QUOTATION,DN-013293,5/15/2020,EA,100,38.52,3852.00,
Goodwood,Disposable Gown,POMED,2014/162486/07,T32,GW-011657,18/03/2020,ea,1000,23.83,23830.00,
Goodwood,Disposable Gown,POMED,2014/162486/07,T32,GW-011819,14/05/2020,EA,2000,23.83,47660.00,
Goodwood,Disposable Gown,POMED,2014/162486/07,T32,GW-011861,23/06/2020,EA,1000,23.83,23830.00,
Ovebeg,Disposable Gown,Eyethu Distibutos,2019/150260/07,PICE QUOTATION,HS-010861,5/14/2020,Each,1000,26.00,26000.00,
Ovebeg,Disposable Gown,Logan Medical & Sugical,2012/056508/07,T32,HS-010879,5/21/2020,Each,3500,34.50,,
