implementation_location_province,buyer_name,INSTITUTION,award_date,PRODUCT,ITEM,item_description,UNIT OF MEASURE,cost_per_unit_zar,QUALITY OF UNITS,order_amount_zar,supplier_name
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,62675.00,1,62675.00,Nto's catering cc
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Homeless Shelter,Catering for homeless sheltered by the Department,Meals,3290558.25,1,3290558.25,Nto's Catering cc
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,42500.00,1,42500.00,Skeeloz Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,97000.00,1,97000.00,lzindlu 247 Trading and Construction
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,43000.00,1,43000.00,lmpumeleloyeqadi Trading(Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,43000.00,1,43000.00,TC Thobza Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,43250.00,1,43250.00,Nisawiz
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,54000.00,1,54000.00,Buleleseduma Trading (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-07,Catering,Grant Recepients,Catering for SASSA grant recipients,Meals,52500.00,1,52500.00,Esengweni
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-05,Groceries,Food parcels,Food parcels: The Department has profiled a total number of 45 146 applicants and distributed 14 331 SRD Food parcels during CORVID-19,N/A,3774000.00,1,3774000.00,N/A
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-14,Catering,Catering Homeless Shelter,Catering services,Each,115.00,20,2300.00,Chriss BEE Catering
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-14,Catering,Catering Homeless Shelter,Catering services,Each,154.85,40,6194.00,Bathuli Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-30,Catering,Catering Homeless Shelter,Catering services,"Breakfast, Lunch & SuI per",170.00,372,63240.00,Mamsomi Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Catering,Catering Homeless Shelter,catering services,Each,115.00,20,2300.00,Chriss BEE Catering
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Catering,Catering Homeless Shelter,catering services,Each,70.00,40,2800.00,Bathuli Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-03,Themometers,Themometers Thermometers: Infrared,Thermometers Infrared,Each,1437.50,55,79062.50,Ezulwini Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Catering,Catering Catering Departmental,catering services,Each,115.00,20,2300.00,Chriss BEE Catering
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-04-17,Catering,Catering Homeless Shelter,Catering for Homeless Shelter,3 meals per day for 12 people,170.00,180,30600.00,Mamsomi Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-30,Catering,Catering Homeless Shelter,Catering for Homeless Shelter,"3 meals per day for 10  eoplER.120,00",,150,18000.00,Nkwabe Trading and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-28,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,25908.48,1,25908.48,Esonole Trading and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-28,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,32000.00,1,32000.00,Abafikile Trading & Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-28,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,29600.00,1,29600.00,Phila & Nana Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-28,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,35851.23,1,35851.23,Lathobs Cleaning & Hygiene Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-28,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,37761.23,1,37761.23,Lathobs Cleaning & Hygiene Services
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-28,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,47898.00,1,47898.00,Sibongile N Construction
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,76423.42,1,76423.42,C Mthule Construction PTY
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,89922.50,1,89922.50,C Mthule Construction PTY
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,53440.00,1,53440.00,Sizocebisa Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-29,Cleaning,Cleaning Cleaning Services,Cleaning Services,1 Month,57490.00,1,57490.00,Matata Agricultural Co-operative Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-05-31,Catering,Catering Catering Departmental,Catering Departmental,2 Weeks,157500.00,1,157500.00,Delani Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-01,Catering,Catering Catering Departmental,Catering Departmental,2 Weeks,33600.00,1,33600.00,Esonole Trading and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-01,Catering,Catering Catering Departmental,Catering Departmental,2 Weeks,58100.00,1,58100.00,Bright Future Consultants
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-09,Catering,Catering Homeless Shelter,Catering Homeless,Meals,115.00,40,4600.00,Velvet Rope Lifestyle
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-09,Catering,Catering Homeless Shelter,Catering Homeless,Meals,100.00,20,2000.00,Zamancwane Catering
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-15,Catering,Catering Catering Departmental,Catering Departmental,Meals,120.00,150,18000.00,Nkwabe Trading & Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-12,Cleaning,Cleaning Cleaning Services,Deep Cleaning and Sanitation,square meter,99943.58,1,99943.58,Mazel Industrial Products t/a Kleenline
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-12,Cleaning,Cleaning Cleaning Services,Deep Cleaning and Sanitation,square meter,37458.48,1,37458.48,Empedic Investments (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-09,Catering,Catering Homeless Shelter,Lunch,Each,45.00,3500,157500.00,Delani Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-09,Catering,Catering Homeless Shelter,"Breakfast, Lunch, Supper",Each,120.00,490,58800.00,Bright Future Consultants
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-09,Catering,Catering Homeless Shelter,"Breakfast, Lunch, Supper",Each,120.00,294,35280.00,Esonole Trading and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-26,Catering,Catering Homeless Shelter,Lunch,per person,45.00,8000,360000.00,Delani Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-26,Catering,Catering Homeless Shelter,"Breakfast, Lunch, Supper",per person,120.00,1120,134400.00,Bright Future Consultants
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-26,Catering,Catering Homeless Shelter,"Breakfast, Lunch, Supper",per person,120.00,672,80640.00,Esonole Trading and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-30,Catering,Catering Homeless Shelter,"Breakfast, Lunch, Supper",per person,120.00,40,4800.00,Sebenzinzuzo Cleaning Service
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-06-30,Catering,Catering Homeless Shelter,"Breakfast, Lunch, Supper",per person,75.00,20,1500.00,Charlie and Lucky Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-03,Dispensers,Dispensers Knapsack sprayers,Knapsack sprayers,16L,1150.00,30,34500.00,lntyatyambo Creations
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-03,PPE,PPE Personnel Protective Equipment,Personnel Protective Equipment,Each,280.00,50,14000.00,lntyatyambo Creations
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-03,PPE,Visor/ Face-Shield,Visor/ Face-Shield,Each,60.00,200,12000.00,lntyatyambo Creations
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-14,Catering,Homeless Shelter,Catering services,Per Person,108.00,20,2160.00,Dlamahasi and Maziya Trading
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-15,Catering,HomelessS helter,Caterings ervices,Per Person,120.00,40,4800.00,SAGINIX
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-16,Themometers,Thermometers: Infrared,Thermometers,Each,1437.50,55,79062.50,Thembakosi Equipment and Hardware
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-02,Themometers,Thermometers: Infrared,Thermometer,Each,1499.00,289,433211.00,Cusielihle (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-12,Sanitizers,Sanitizer with Dispenser,Plastic Hand Pump/ Spray filled with sanitzing gel 70% alcohol,1L,95.00,500,47500.00,Aramaya
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-12,Sanitizers,Sanitizer,Surface sanitizer gel 70% alcohol,25L,1600.00,20,32000.00,Aramaya
KwaZulu-Natal,KwaZulu-Natal Department of Social Development,Social Development,2020-07-12,Sanitizers,Sanitizer with Dispenser,1L  Pump/ Spray surface sanitizer gel filled with 70% alcohol,1L,96.00,30,2880.00,Aramaya
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-03-18,Sanitizers,Sanitizer,Hand Sanitizers,500ml,103.50,100,10350.00,Allenco Medical & Dental supplies
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-03-18,Sanitizers,Sanitizer,Hand Sanitizers,500ml,70.00,25,1750.00,Logan Medical & Surgical (pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-04-01,Sanitizers,Sanitizer,Hand Sanitizers,500ml,80.50,500,40250.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-04-23,Themometers,Thermometers: Infrared,Infrared Thermometres,Each,2645.00,12,31740.00,Renrick Business Solution
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-04-30,Masks,Masks (Cloth),Cloth Mask,Each,25.00,200,5000.00,Mdibanisi Projects
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-04-30,Sanitizers,Sanitizer,Hand Sanitizers,500ml,60.00,12,720.00,Dr. Mohamed
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-04-30,Dispensers,Sanitizer Refill Bottles,Sanitizer Refill Bottles,Each,16.50,25,412.56,"Victoria Packaging, Pmburg"
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-04-30,Dispensers,Sanitizer Refill Pump,Sanitizer Refill Pump,Each,20.17,1,20.17,"Victoria Packaging, Pmburg"
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Newcastle),Site - each I Sqm (Newcastle),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Ladysmith),Site - each I Sqm (Ladysmith),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,"Sanitization and fogging (Ugu, Margate)",Site - each/ Sqm (Margate),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,"Sanitization and fogging (HGW, lxopo)",Site- each I Sqm (lxopo),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Dundee),Site - each/ Sqm (Dundee),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Richards Bay),Site - each / Sqm (Richards Bay),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Ulundi),Site - each / Sqm (Ulundi),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,"Sanitization and fogging (Mayville, Dbn)","Site - each / Sqm (Mayville, Dbn)",3450.00,1,3450.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,"Sanitization and fogging (H/O, Pmb)",Site - each / Sqm (H/O - Pmburg),3754.75,1,3754.75,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Stanger),Site - each I Sqm Stanger),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Truro House),Site - each I Sqm (8th Floor Truro),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-13,Cleaning,Fogging,Sanitization and fogging (Hluhluwe),Site - each I Sqm (Hluhluwe),2875.00,1,2875.00,Bidvest Steiner Newcastle
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-26,Advertisements,Advert Marketing,Advert: Marketing,Each,24890.00,1,24890.00,lndonsakusa Community
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-26,Advertisements,Advert Marketing,Advert: Marketing,Each,59782.52,1,59782.52,Independent newspaper
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-26,Advertisements,Advert Marketing,Advert: Marketing,Each,24464.00,1,24464.00,Nqubeko Community Radio Station
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-26,Advertisements,Advert Marketing,Advert: Marketing,Each,34689.52,1,34689.52,llanga newspaper
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-26,Advertisements,Advert Marketing,Advert: Marketing,Each,28500.00,1,28500.00,lnanda 88.4 FM
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-25,Advertisements,Advert Marketing,Advert: Marketing,Each,22000.00,1,22000.00,UMgungundlovu Community Radio
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-05-25,Advertisements,Advert Marketing,Advert: Marketing,Each,21000.00,1,21000.00,Rise Community Radio
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-06-19,"Olhe,",Provide Details,Sport Equipment Packs,Pack,4023.85,50,201192.50,Solly M Sports
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-06-27,Cleaning,Fogging,Sanitizing and Hot Fogging the Office,Square Meter,7.36,1400,10304.00,Thula Muntu Development Services
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-06-26,Masks,Masks (Cloth),Cloth Masks,Each,16.00,1500,24000.00,Zakhanya Fitness
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-06-26,PPE,Personnel Protective Equipment,Screen Guards for Reception Desks,Each,450.00,16,7200.00,Zakhanya Fitness
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-06-26,Dispensers,Pump,Hand sanitizer dispensers,Each,750.00,25,18750.00,Zakhanya Fitness
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-06-26,Sanitizers,Detergents,Hand sanitizers,Each,50.00,1000,50000.00,Zakhanya Fitness
KwaZulu-Natal,KwaZulu-Natal Department of Sport and Recreation,Sport and Recreation,2020-07-13,Cleaning,Fogging,Decontamination of Offices,Cubic Meter,2.15,3297,7090.20,MDG
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-03-13,Courier,"Courier of Personnel Protective	Equipment",Courier Services,12ton,23.01,2000,46019.32,Biddulphs Removals & Storage
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-04-15,Courier,"Courier of Personnel Protective	Equipment",Courier Services,"1,389 tons",143.64,70,10054.88,Skynet South Afiica
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-03-20,Sanitizers,Hand Disinfectant,Disinfectant,25 litres,3450.00,70,241500.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-03-20,Sanitizers,Hand Disinfectant,Disinfectant,500ml,92.00,2000,184000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-03-20,Masks,Mask Surgical 3 Ply Earloop,Mask (Surgical),Box,17.25,50000,862500.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-03-20,Sanitizers,Hand Disinfectant,Disinfectant,500ml,92.00,2000,184000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-03-20,Sanitizers,Hand Disinfectant,Disinfectant,500ml,92.00,3750,345000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-15,Sanitizers,Surface Disinfectant,Disinfectant,564sq m,337.08,564,190111.15,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-22,Sanitizers,Surface Disinfectants,Sanitizer,20L,1390.00,100,139000.00,Civil & Supply Solutions
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-22,Cleaning,Spray Bottled,Decontamination Services,"1,5L",250.00,60,15000.00,Civil & Supply Solutions
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-22,Cleaning,Spray Bottled,Decontamination Services,5L,480.00,60,28800.00,Civil & Supply Solutions
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-22,Masks,Clear Face masks,Mask (FFP2),Each,16.16,300,4848.00,Van Schaik Bookstore
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-01,Cleaning,Disinfection of public Serving Offices,Decontamination Services,"2244,988sq",990.79,2245,2224334.11,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-29,Sanitizers,Foot Disinfectants,Sanitizer,Each,600.00,200,120000.00,Khuphuganathi office furnitures
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-29,Dispensers,Foot Disinfectants,Sanitizer Refill Bottles,Each,50.00,200,10000.00,khuphuganathi office furnitures
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-05-28,Themometers,Thermometers,Thermometers: Digital,Each,890.00,120,106800.00,Alframed
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-06-29,Masks,Face Shields,Masks (FFP1),Each,34.00,4000,136000.00,Revelation of Green Heart
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-07-07,Themometers,Temperature scanners,Thermometers: Infrared,Each,585.00,150,87750.00,Zenny Zonda Empire
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-07-17,Masks,Cloth Masks,Masks (Cloth),Each,8.00,8431,67448.00,Ntandoyenkosi holdings
KwaZulu-Natal,KwaZulu-Natal Department of Transport,Transport,2020-07-17,Masks,Face Shields,Masks (FFP1),Each,25.00,4000,100000.00,Simula
